Frequency [GHz],S11 [dB],ff,ld, lf, lg, lp, ls, s1, s2, t, wf, wg,wp, ws, z
0,-0.005264212,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.015,-0.005250794,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.029999999,-0.005210422,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.045000002,-0.005143782,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.059999999,-0.005052373,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.075000003,-0.004935399,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.090000004,-0.004797064,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.104999997,-0.004636731,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.119999997,-0.004458321,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.135000005,-0.004261993,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.150000006,-0.004052995,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.165000007,-0.003831449,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.180000007,-0.003603189,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.194999993,-0.003369776,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.209999993,-0.003135171,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.224999994,-0.002902461,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.239999995,-0.002675873,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.254999995,-0.002458422,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.270000011,-0.002255884,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.284999996,-0.002070219,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.300000012,-0.001905886,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.314999998,-0.001767423,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.330000013,-0.001659379,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.344999999,-0.001583197,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.360000014,-0.001544768,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.375,-0.001547378,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.389999986,-0.001594299,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.405000001,-0.001687701,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.419999987,-0.001833123,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.435000002,-0.002030054,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.449999988,-0.002285236,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.465000004,-0.002598364,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.479999989,-0.002971817,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.495000005,-0.003407882,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.50999999,-0.003910222,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.524999976,-0.004477604,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.540000021,-0.005109389,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.555000007,-0.005810103,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.569999993,-0.006578984,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.584999979,-0.007413862,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.600000024,-0.008314964,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.61500001,-0.009284517,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.629999995,-0.010318395,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.644999981,-0.011417456,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.660000026,-0.012577661,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.675000012,-0.013798773,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.689999998,-0.015078863,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.704999983,-0.016414402,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.720000029,-0.017804115,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.735000014,-0.019244232,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.75,-0.020731875,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.764999986,-0.022263494,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.779999971,-0.023835592,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.795000017,-0.025444265,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.810000002,-0.027088338,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.824999988,-0.028761339,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.839999974,-0.030461579,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.855000019,-0.032182475,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
